ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On
10352067,HY542853,12/19/2015 10:15,063XX W FULLERTON AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,2512,25,29,19,08B,2015,10/2/2018 15:50
10352143,HY542849,12/19/2015 10:12,001XX N LAMON AVE,460,BATTERY,SIMPLE,RESIDENCE,TRUE,TRUE,1532,15,28,25,08B,2015,10/2/2018 15:50
10356022,HY545900,12/19/2015 10:00,029XX N MANGO AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,2514,25,30,19,5,2015,10/2/2018 15:50
10352455,HY543243,12/19/2015 10:00,024XX E 81ST ST,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,422,4,7,46,5,2015,10/2/2018 15:50
10352620,HY543538,12/19/2015 10:00,070XX S SANGAMON ST,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,733,7,17,68,5,2015,10/2/2018 15:50
10352085,HY542832,12/19/2015 10:00,046XX W MONTANA ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2521,25,31,19,08B,2015,10/2/2018 15:50
10355273,HY546345,12/19/2015 10:00,017XX W ADDISON ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,FALSE,FALSE,1922,19,47,5,26,2015,10/2/2018 15:50
10389855,HZ126870,12/19/2015 10:00,035XX W 63RD PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,823,8,15,66,11,2015,9/2/2018 15:44
10852078,JA156267,12/19/2015 10:00,009XX W MONROE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,1232,12,2,28,11,2015,2/17/2017 15:49
10352015,HY542837,12/19/2015 10:00,093XX S JEFFERY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,413,4,8,48,08B,2015,10/2/2018 15:50
10352002,HY542821,12/19/2015 10:00,011XX N LAWLER AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,FALSE,FALSE,1531,15,37,25,26,2015,10/2/2018 15:50
10361118,HY552706,12/19/2015 10:00,045XX N MAGNOLIA AVE,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1913,19,46,3,6,2015,10/2/2018 15:50
10353974,HY545144,12/19/2015 10:00,013XX S SPRINGFIELD AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1011,10,24,29,7,2015,10/2/2018 15:50
10353005,HY544188,12/19/2015 10:00,045XX S MICHIGAN AVE,820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,FALSE,FALSE,215,2,3,38,6,2015,10/2/2018 15:50
10352055,HY542887,12/19/2015 10:00,014XX S ASHLAND AVE,560,ASSAULT,SIMPLE,DEPARTMENT STORE,FALSE,TRUE,1233,12,2,28,08A,2015,10/2/2018 15:50
10352012,HY542838,12/19/2015 10:00,084XX S SAGINAW AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,423,4,7,46,14,2015,10/2/2018 15:50
10352488,HY543523,12/19/2015 9:52,068XX W NORTH AVE,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,ALLEY,FALSE,FALSE,2513,25,36,25,3,2015,10/2/2018 15:50
10352000,HY542826,12/19/2015 9:42,049XX N MILWAUKEE AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,OTHER RAILROAD PROP / TRAIN DEPOT,TRUE,FALSE,1623,16,45,11,26,2015,10/2/2018 15:50
10352073,HY542840,12/19/2015 9:41,007XX N LARAMIE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1524,15,28,25,08B,2015,10/2/2018 15:50
10352225,HY542820,12/19/2015 9:35,004XX E MARQUETTE RD,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,312,3,20,42,3,2015,10/2/2018 15:50
10361259,HY552857,12/19/2015 9:30,006XX N MICHIGAN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,FALSE,FALSE,1834,18,42,8,11,2015,10/2/2018 15:50
10352784,HY543936,12/19/2015 9:30,017XX W 90TH PL,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2221,22,21,73,6,2015,10/2/2018 15:50
10352158,HY542789,12/19/2015 9:25,071XX S RHODES AVE,460,BATTERY,SIMPLE,GROCERY FOOD STORE,FALSE,FALSE,323,3,6,69,08B,2015,10/2/2018 15:50
10352029,HY542813,12/19/2015 9:23,062XX N KEELER AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,TRUE,TRUE,1711,17,39,12,26,2015,10/2/2018 15:50
10352257,HY542970,12/19/2015 9:20,083XX S CALUMET AVE,915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,FALSE,FALSE,632,6,6,44,7,2015,10/2/2018 15:50
10352557,HY543592,12/19/2015 9:18,001XX N STATE ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,111,1,42,32,6,2015,10/2/2018 15:50
10352016,HY542828,12/19/2015 9:15,056XX N CANFIELD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1613,16,41,10,08B,2015,10/2/2018 15:50
10352418,HY543331,12/19/2015 9:10,084XX S HERMITAGE AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,614,6,18,71,5,2015,10/2/2018 15:50
10357107,HY547421,12/19/2015 9:00,034XX W BARRY AVE,890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1412,14,35,21,6,2015,10/2/2018 15:50
10361251,HY553009,12/19/2015 9:00,0000X E RANDOLPH ST,890,THEFT,FROM BUILDING,ATHLETIC CLUB,FALSE,FALSE,111,1,42,32,6,2015,10/2/2018 15:50
10354174,HY545397,12/19/2015 9:00,033XX W AINSLIE ST,890,THEFT,FROM BUILDING,APARTMENT,FALSE,FALSE,1713,17,39,14,6,2015,10/2/2018 15:50
10354156,HY545377,12/19/2015 9:00,022XX E 70TH PL,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,331,3,5,43,08A,2015,10/2/2018 15:50
10356756,HY547607,12/19/2015 9:00,100XX W OHARE ST,890,THEFT,FROM BUILDING,AIRPORT EXTERIOR - SECURE AREA,FALSE,FALSE,1651,16,41,76,6,2015,12/28/2015 15:52
10352062,HY542858,12/19/2015 9:00,030XX S EMERALD AVE,560,ASSAULT,SIMPLE,ALLEY,FALSE,TRUE,914,9,11,60,08A,2015,10/2/2018 15:50
10352982,HY544176,12/19/2015 9:00,003XX S LOOMIS ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,FALSE,TRUE,1231,12,2,28,26,2015,10/2/2018 15:50
10352094,HY542803,12/19/2015 9:00,024XX W 65TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,FALSE,832,8,15,66,08B,2015,10/2/2018 15:50
10368986,HZ104939,12/19/2015 9:00,0000X S DEARBORN ST,1120,DECEPTIVE PRACTICE,FORGERY,BANK,FALSE,FALSE,112,1,42,32,10,2015,10/2/2018 15:50
10357484,HY548545,12/19/2015 9:00,050XX S KILBOURN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,TRUE,FALSE,815,8,23,57,7,2015,10/2/2018 15:50
10352789,HY543949,12/19/2015 9:00,060XX S KOSTNER AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,813,8,13,65,5,2015,10/2/2018 15:50
10359822,HY551462,12/19/2015 9:00,004XX N LA SALLE DR,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE-GARAGE,FALSE,FALSE,1831,18,42,8,14,2015,10/2/2018 15:50
10394580,HZ130949,12/19/2015 9:00,031XX N LUNA AVE,1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,RESIDENCE,FALSE,FALSE,2514,25,30,19,11,2015,9/2/2018 15:44
10352114,HY542885,12/19/2015 9:00,037XX W DIVISION ST,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,1112,11,27,23,5,2015,12/26/2015 15:53
10353136,HY544427,12/19/2015 9:00,044XX W JACKSON BLVD,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,TRUE,1113,11,28,26,6,2015,10/2/2018 15:50
10360203,HY551343,12/19/2015 9:00,006XX N LOTUS AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,1524,15,37,25,11,2015,10/2/2018 15:50
10352017,HY542788,12/19/2015 9:00,021XX W NORTH AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1424,14,32,24,14,2015,12/26/2015 15:53
10589114,HZ339529,12/19/2015 9:00,014XX E HYDE PARK BLVD,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,TRUE,FALSE,234,2,4,41,11,2015,3/27/2017 15:49
10690679,HZ444856,12/19/2015 9:00,001XX W MARQUETTE RD,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,RESIDENCE,FALSE,FALSE,722,7,6,69,10,2015,9/26/2016 15:52
10357887,HY548898,12/19/2015 9:00,052XX W 63RD PL,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE,FALSE,813,8,13,64,11,2015,12/28/2015 15:52
10352014,HY542791,12/19/2015 8:55,019XX W EVERGREEN AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1424,14,1,24,6,2015,10/2/2018 15:50
10352815,HY542808,12/19/2015 8:55,002XX W 115TH ST,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,OTHER,FALSE,FALSE,522,5,34,53,26,2015,10/2/2018 15:50
10351994,HY542804,12/19/2015 8:50,040XX W WILCOX ST,2091,NARCOTICS,FORFEIT PROPERTY,STREET,TRUE,FALSE,1115,11,28,26,18,2015,10/2/2018 15:50
10352057,HY542856,12/19/2015 8:45,013XX N WELLS ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER,FALSE,FALSE,1821,18,43,8,11,2015,10/2/2018 15:50
